date,open,high,low,close,volume,pct_change
2020-02-27,5770.218,5829.037,5689.539,5753.728,20469487500,0.1799458960931366
2020-02-28,5558.416,5641.772,5438.852,5451.29,22430670900,-5.2563833396364945
2020-03-02,5516.439,5683.243,5505.268,5656.419,19951161200,3.7629441838537225
2020-03-03,5756.791,5832.353,5658.121,5710.024,22632549400,0.9476843918387212
2020-03-04,5670.5,5719.178,5603.929,5716.511,18513309800,0.11360722827085112
2020-03-05,5795.25,5811.207,5732.168,5801.12,21723222100,1.4800811194100705
2020-03-06,5737.096,5802.629,5723.733,5763.86,18529714700,-0.6422897647350934
2020-03-09,5668.637,5699.92,5525.817,5525.817,21853808900,-4.129923349977272
2020-03-10,5459.173,5675.876,5423.429,5675.111,20840287700,2.7017543288168966
2020-03-11,5692.717,5708.915,5589.531,5589.531,18775091200,-1.5079881256948036
2020-03-12,5507.321,5549.35,5446.794,5493.884,15875315700,-1.7111811348751838
2020-03-13,5225.506,5507.39,5224.727,5457.201,19526665900,-0.6677061255752736
2020-03-16,5496.889,5496.889,5183.344,5200.114,18684995200,-4.710968131831694
2020-03-17,5245.523,5300.559,5052.655,5212.062,15913787800,0.22976419363114342
2020-03-18,5257.944,5333.12,5119.472,5119.472,16428660400,-1.7764562278806406
2020-03-19,5119.944,5185.089,5020.439,5157.824,15459370200,0.7491397550372314
2020-03-20,5217.488,5225.027,5129.073,5219.281,12751328900,1.1915296062835923
2020-03-23,5079.355,5129.141,4981.668,4998.91,13868474500,-4.222248236874004
2020-03-24,5089.152,5118.036,4963.292,5096.041,14078770500,1.9430435835012139
2020-03-25,5200.775,5229.221,5160.389,5217.424,14688107000,2.3819078378686465
2020-03-26,5180.466,5227.468,5157.148,5166.109,12565245000,-0.9835313365369469
2020-03-27,5222.851,5227.792,5134.49,5137.337,11704507300,-0.5569375326769155
2020-03-30,5073.705,5074.625,4974.317,5027.486,12398131600,-2.1382868205842898
2020-03-31,5073.523,5090.568,5030.573,5041.453,11160561200,0.27781280743497394
2020-04-01,5029.584,5108.175,5007.712,5019.219,11215411100,-0.4410236493328501
2020-04-02,4998.626,5147.202,4998.106,5147.202,11335107800,2.549858852542597
2020-04-03,5143.519,5161.573,5085.095,5107.039,10947897800,-0.7802880089027076
2020-04-07,5202.547,5273.086,5197.583,5267.073,14510945200,3.133596590901311
2020-04-08,5243.162,5291.415,5232.616,5271.796,13778625400,0.08967029695621243
2020-04-09,5301.266,5336.117,5289.385,5322.461,12509846200,0.9610576737036025
2020-04-10,5321.787,5321.787,5197.984,5208.51,12381638800,-2.140945701621866
2020-04-13,5176.443,5198.371,5140.851,5169.176,9818099300,-0.7551871840507096
2020-04-14,5197.172,5288.593,5189.824,5288.593,11018824400,2.310174774470819
2020-04-15,5291.966,5320.579,5264.011,5268.75,12247740000,-0.3752037640257
2020-04-16,5245.925,5328.12,5238.434,5316.971,12074219300,0.9152265717674801
2020-04-17,5354.983,5377.147,5309.581,5318.455,13696983300,0.027910628062488563
2020-04-20,5329.869,5381.786,5311.197,5381.786,12064218200,1.1907781489173042
2020-04-21,5358.601,5358.601,5287.663,5343.881,13074442600,-0.7043200900221591
2020-04-22,5304.731,5388.207,5296.264,5387.623,12359700600,0.8185436764029497
2020-04-23,5402.648,5407.49,5354.94,5357.79,14461830200,-0.5537321375307713
2020-04-24,5350.543,5354.763,5258.569,5273.547,13138336700,-1.572346060595886
2020-04-27,5278.979,5314.411,5249.313,5265.725,11713242700,-0.14832521640556484
2020-04-28,5268.126,5273.257,5102.061,5227.846,14082491000,-0.7193501369707089
2020-04-29,5203.71,5269.735,5201.473,5226.812,10592684900,-0.01977870044372887
2020-04-30,5261.047,5368.894,5261.047,5353.86,13303668600,2.430697717844077
2020-05-06,5320.94,5451.456,5318.443,5451.316,14167905000,1.8202941429174446
2020-05-07,5454.252,5473.774,5425.796,5445.752,14014635400,-0.10206709719267071
2020-05-08,5474.874,5527.09,5467.646,5507.697,13631862200,1.1374921223000989
2020-05-11,5529.106,5547.942,5466.616,5496.192,12985198500,-0.20888948683996933
2020-05-12,5494.069,5519.287,5441.701,5512.464,11594367700,0.2960595263047594
2020-05-13,5495.897,5546.554,5483.987,5536.28,10789582200,0.4320391026589876
2020-05-14,5513.082,5528.092,5485.015,5487.107,11919770100,-0.8881956837443195
2020-05-15,5510.145,5543.933,5486.256,5507.934,11265151100,0.37956249076243065
2020-05-18,5522.723,5528.775,5454.962,5478.822,13365466400,-0.5285466383584181
2020-05-19,5515.029,5548.218,5504.233,5547.876,11200886000,1.260380424843155
2020-05-20,5545.044,5547.169,5473.79,5489.702,12349126400,-1.0485814751447164
2020-05-21,5508.204,5511.232,5415.599,5426.175,11455910800,-1.157203068581869
2020-05-22,5421.728,5421.887,5307.296,5328.227,10641571100,-1.805102120738833
2020-05-25,5323.966,5344.285,5293.229,5316.604,8438568100,-0.2181401055172727
2020-05-26,5341.111,5421.905,5341.082,5420.213,9096900800,1.9487815906544803
2020-05-27,5426.556,5426.556,5358.47,5369.499,10396037100,-0.9356458869789752
2020-05-28,5367.266,5390.14,5290.29,5361.167,10252425100,-0.15517276379042322
2020-05-29,5349.568,5416.66,5336.067,5406.34,10500325000,0.8425963973888395
2020-06-01,5446.291,5576.654,5446.291,5569.48,14169758200,3.017568262447412
2020-06-02,5595.359,5596.44,5544.186,5566.444,13902910300,-0.05451137269546491
2020-06-03,5583.701,5618.289,5567.073,5572.313,13834551900,0.10543535513876101
2020-06-04,5589.345,5597.262,5549.358,5576.754,12077846500,0.07969760492634315
2020-06-05,5585.159,5592.345,5542.87,5585.423,11225389700,0.1554488507113705
2020-06-08,5618.375,5627.189,5567.209,5575.304,11944619000,-0.18116801538575755
2020-06-09,5582.144,5616.036,5560.139,5610.377,11487092900,0.6290778045466183
2020-06-10,5611.658,5616.611,5581.915,5615.242,10836809700,0.08671431527684792
2020-06-11,5618.641,5673.311,5567.538,5589.102,12751545400,-0.46551867221396037
2020-06-12,5483.785,5620.206,5479.271,5591.487,12954546500,0.042672329114767926
2020-06-15,5605.883,5661.971,5590.644,5590.644,14535977600,-0.015076490386189967
2020-06-16,5633.259,5695.301,5624.855,5695.301,13395170300,1.872002581455745
2020-06-17,5708.687,5735.418,5685.624,5735.418,14683751800,0.704387704881615
2020-06-18,5738.031,5744.453,5705.295,5734.403,15815436600,-0.017697053641063665
2020-06-19,5733.429,5796.36,5727.623,5787.148,14176809800,0.9197993234866697
2020-06-22,5793.788,5815.394,5770.809,5784.027,14539234900,-0.05392984592755834
2020-06-23,5783.12,5809.283,5755.398,5804.343,12574812700,0.35124317365737845
2020-06-24,5808.539,5824.313,5773.291,5789.089,11024143600,-0.26280321476521706
2020-06-29,5774.459,5789.159,5740.256,5762.438,11776115100,-0.4603660437764834
2020-06-30,5790.065,5875.327,5788.208,5864.416,11535032400,1.7697023377952092
2020-07-01,5884.54,5885.874,5814.755,5881.888,14283298200,0.2979324795512328
2020-07-02,5880.883,5979.99,5858.574,5975.279,20118138000,1.587772497538209
2020-07-03,5989.996,6052.523,5968.066,6051.51,22682681800,1.2757730643205178
2020-07-06,6095.956,6318.308,6095.956,6299.855,30237648900,4.103851765922872
2020-07-07,6368.314,6480.029,6300.245,6380.028,32586542500,1.2726165919692
2020-07-08,6378.946,6541.438,6352.373,6535.415,28884738900,2.4355222265482146
2020-07-09,6541.285,6712.145,6530.021,6693.745,31741227100,2.422646457799549
2020-07-10,6664.326,6763.812,6644.359,6676.437,28873667200,-0.258569754300475
2020-07-13,6710.635,6899.622,6710.635,6899.518,29730559500,3.3413181312128115
2020-07-14,6897.003,6897.003,6672.8,6807.727,29386829700,-1.3303972828246913
2020-07-15,6815.616,6838.152,6598.523,6638.838,25647283000,-2.4808427247449916
2020-07-16,6642.329,6710.995,6305.133,6319.998,25331587000,-4.802647692261807
2020-07-17,6327.027,6447.509,6272.942,6344.591,19680390900,0.3891298699778112
2020-07-20,6419.08,6526.833,6340.65,6526.833,21241322200,2.872399497461675
2020-07-21,6546.565,6591.01,6500.868,6563.324,19396594900,0.5590919822829887
2020-07-22,6554.168,6699.687,6534.743,6620.689,21010119800,0.8740235892666703
2020-07-23,6562.049,6629.207,6431.261,6620.086,20799246200,-0.009107813401298959
2020-07-24,6584.809,6609.288,6265.379,6283.983,21901777700,-5.077018636918007
2020-07-27,6304.586,6337.328,6229.471,6298.735,14554248100,0.23475556824388288
2020-07-28,6345.682,6385.391,6307.789,6359.664,13883814400,0.9673212160854483
2020-07-29,6341.008,6530.271,6324.048,6530.271,15922168400,2.6826417244684597
2020-07-30,6548.701,6564.775,6491.449,6511.436,17761556100,-0.2884260086602808
2020-07-31,6499.394,6619.262,6463.415,6579.67,17991294100,1.047910169124
2020-08-03,6635.343,6739.809,6614.431,6739.809,20726674600,2.433845466413964
2020-08-04,6758.494,6764.905,6672.894,6697.707,20947893600,-0.6246764559648454
2020-08-05,6696.687,6790.008,6653.277,6772.842,18484381600,1.121801834568159
2020-08-06,6780.327,6792.276,6656.278,6770.302,20522984200,-0.037502720423709945
2020-08-07,6743.291,6755.528,6578.667,6688.882,19812821400,-1.2026051422816875
2020-08-10,6666.56,6768.866,6651.742,6725.296,17535322700,0.544395909510742
2020-08-11,6727.769,6756.845,6594.979,6600.847,18084577100,-1.85046130311588
2020-08-12,6580.006,6599.657,6395.006,6528.4,17788904500,-1.0975409670910485
2020-08-13,6552.37,6592.116,6518.423,6552.657,16206051500,0.3715611788493334
2020-08-14,6542.603,6629.506,6506.027,6623.563,15687598800,1.0820954003849081
2020-08-17,6646.542,6752.318,6614.185,6744.547,20140735700,1.8265697782296142
2020-08-18,6747.606,6811.564,6737.529,6789.398,18916617500,0.6649964778954187
2020-08-19,6782.593,6782.593,6661.988,6666.274,19430913600,-1.8134744788860457
2020-08-20,6622.005,6672.491,6570.695,6593.785,15764625800,-1.0873990478039275
2020-08-21,6628.901,6686.023,6589.197,6643.944,14296349300,0.7607011754250381
2020-08-24,6667.296,6702.749,6589.929,6688.965,14302035400,0.6776246157402799
2020-08-25,6698.12,6734.438,6631.685,6652.548,14709813000,-0.544434004363914
2020-08-26,6650.449,6660.763,6501.241,6525.879,15373477100,-1.904067434011747
2020-08-27,6538.136,6585.719,6486.751,6578.791,12983619800,0.8108026520258882
2020-08-28,6571.898,6695.357,6553.923,6691.21,14194959300,1.7088094149821709
2020-08-31,6719.286,6765.885,6667.679,6668.433,15602438500,-0.3404018107337814
2020-09-01,6667.168,6710.46,6637.634,6710.46,12563249000,0.6302380184370238
2020-09-02,6725.691,6742.553,6647.034,6717.558,14956254800,0.1057751629545578
2020-09-03,6715.104,6732.674,6638.448,6662.252,14211033500,-0.8233051355864718
2020-09-04,6545.888,6631.029,6538.49,6618.576,12535846200,-0.6555741211830557
2020-09-07,6619.898,6669.394,6459.103,6478.812,15558174800,-2.1116929079608715
2020-09-08,6493.774,6542.995,6432.952,6525.098,16123031800,0.7144211006585799
2020-09-09,6455.305,6471.482,6319.271,6349.223,21691635100,-2.6953618167880444
2020-09-10,6404.665,6414.962,6219.636,6235.569,18104949700,-1.7900458056048674
2020-09-11,6209.788,6319.669,6209.788,6311.967,12462919400,1.225196930705108
2020-09-14,6350.355,6381.182,6297.902,6351.242,13050227700,0.6222307562761431
2020-09-15,6351.037,6388.13,6328.537,6387.881,11518415400,0.5768792938452005
2020-09-16,6379.518,6387.767,6321.567,6353.836,11337988700,-0.532962339154408
2020-09-17,6345.672,6416.009,6291.634,6367.021,11895968100,0.20751243815546605
2020-09-18,6367.792,6473.6,6353.561,6469.469,13522626400,1.6090413397411574
2020-09-21,6492.225,6515.337,6434.324,6445.965,12602372100,-0.36330647847605535
2020-09-22,6392.025,6462.975,6341.484,6358.652,12130589400,-1.354537295812186
2020-09-23,6382.281,6411.205,6356.164,6392.033,9504883300,0.5249697577411006
2020-09-24,6353.694,6354.683,6243.282,6244.639,11280146700,-2.3059017373658786
2020-09-25,6271.701,6285.472,6206.182,6236.89,8779878800,-0.12409043981564949
2020-09-28,6255.021,6261.93,6171.02,6178.469,7896291500,-0.9367008236476848
2020-09-29,6206.991,6280.443,6179.881,6228.771,8137116400,0.814149913190465
2020-09-30,6245.116,6260.123,6155.021,6192.505,8148409300,-0.5822336380643889
2020-10-09,6300.07,6373.937,6290.471,6357.971,10038623100,2.6720365990822614
2020-10-12,6408.083,6541.31,6399.683,6541.176,14482434900,2.881501032326206
2020-10-13,6538.835,6557.864,6486.309,6551.399,11155845000,0.15628688174724736
2020-10-14,6547.838,6547.838,6492.658,6508.374,11862960400,-0.6567299595094167
2020-10-15,6511.071,6518.55,6456.771,6460.041,10700425200,-0.7426278821714871
2020-10-16,6456.738,6473.634,6388.646,6428.682,9873202200,-0.4854303556277806
2020-10-19,6466.566,6483.508,6346.263,6358.321,10366836300,-1.0944856192917962
2020-10-20,6349.644,6423.157,6324.389,6423.113,8618922400,1.0190111508997513
2020-10-21,6426.194,6426.51,6323.441,6350.013,8751225500,-1.1380774400201354
2020-10-22,6331.804,6334.542,6256.232,6317.144,8572472900,-0.5176209875475846
2020-10-23,6312.008,6362.428,6202.535,6213.263,8056509000,-1.6444298246169553
2020-10-26,6195.354,6239.716,6127.383,6214.378,7339295600,0.017945482108183697
2020-10-27,6187.473,6227.842,6168.971,6221.341,7558651600,0.11204661190549192
2020-10-28,6221.74,6254.716,6164.241,6245.999,8713088800,0.39634541813411417
2020-10-29,6168.908,6287.648,6159.144,6255.193,9258748300,0.14719823041919877
2020-10-30,6272.927,6274.616,6103.891,6111.48,11212236000,-2.2974990539860296
2020-11-02,6119.451,6162.276,6095.804,6143.116,11175637900,0.5176487528389284
2020-11-03,6175.159,6245.558,6155.735,6241.768,10544003600,1.605895119024292
2020-11-04,6246.637,6256.07,6181.097,6234.158,9292974500,-0.12192058403964756
2020-11-05,6294.614,6358.445,6273.315,6351.979,11884321500,1.8899264343316347
2020-11-06,6366.185,6366.185,6254.087,6301.248,11824421100,-0.7986644792119191
2020-11-09,6337.442,6452.914,6337.442,6421.651,16002788200,1.9107802136973495
2020-11-10,6434.43,6435.413,6339.286,6373.085,14192893200,-0.7562852605973114
2020-11-11,6356.367,6375.24,6292.837,6294.606,13072808100,-1.2314130440752025
2020-11-12,6305.066,6340.998,6285.291,6315.494,10468068700,0.3318396735236373
2020-11-13,6304.459,6319.413,6248.355,6306.97,10711632200,-0.13496964766334107
2020-11-16,6319.704,6387.415,6294.29,6387.371,13367733000,1.274795979685961
2020-11-17,6380.769,6380.769,6300.567,6336.941,14127431800,-0.7895267082497659
2020-11-18,6333.451,6382.497,6314.309,6341.014,13398246200,0.06427391386476522
2020-11-19,6328.084,6370.181,6293.555,6360.6,12380484500,0.308878043795513
2020-11-20,6354.787,6429.87,6351.308,6422.985,13066764500,0.9808036977643431
2020-11-23,6435.919,6516.241,6407.057,6472.93,18192566800,0.7775979548449996
2020-11-24,6472.747,6495.137,6454.665,6475.188,15406296500,0.03488373889413143
2020-11-25,6489.255,6489.722,6350.367,6350.367,15381310600,-1.9276814819894073
2020-11-26,6349.862,6358.174,6284.973,6334.304,12323693600,-0.252946010836852
2020-11-27,6337.384,6351.81,6276.073,6351.612,12088511600,0.2732423325435551
2020-11-30,6360.462,6397.72,6309.445,6320.944,16315768200,-0.4828380574883884
2020-12-01,6307.854,6437.943,6299.414,6426.616,15095734000,1.6717756082002877
2020-12-02,6437.956,6446.807,6392.989,6434.979,14970510500,0.13013069397642685
2020-12-03,6437.384,6461.088,6392.899,6440.881,15221493300,0.09171747102827421
2020-12-04,6426.026,6471.856,6409.678,6464.735,12885516900,0.37035306194912465
2020-12-07,6465.988,6472.85,6417.648,6424.682,12107828200,-0.6195613586635784
2020-12-08,6424.159,6448.393,6406.724,6423.651,10549499200,-0.01604748686394597
2020-12-09,6430.477,6437.433,6307.221,6307.221,12151621300,-1.8125206366286117
2020-12-10,6295.353,6350.918,6267.171,6320.096,11057714200,0.204131106235228
2020-12-11,6328.828,6340.395,6163.412,6209.427,13264160600,-1.7510651736935667
2020-12-14,6207.826,6260.613,6176.54,6259.018,10687714900,0.7986405186823253
2020-12-15,6250.097,6276.584,6228.679,6265.582,9798099400,0.10487268130561223
2020-12-16,6268.211,6271.03,6219.086,6235.435,9928395000,-0.48115242925557133
2020-12-17,6225.079,6312.006,6184.543,6308.901,12770274400,1.1782016811978435
2020-12-18,6310.16,6332.533,6269.213,6291.918,12862228800,-0.26919110000299673
2020-12-21,6302.258,6401.546,6293.922,6398.599,13634782200,1.6955243218363725
2020-12-22,6372.879,6378.499,6241.56,6250.061,15131061800,-2.321414422125856
2020-12-23,6255.352,6330.603,6242.625,6307.604,14404432300,0.9206790141728316
2020-12-24,6308.48,6308.48,6202.403,6205.225,13122165300,-1.6231044307790987
2020-12-25,6190.992,6284.585,6186.025,6278.498,13447826700,1.1808274478362968
2020-12-28,6283.782,6288.244,6219.091,6244.482,14896021400,-0.5417856308945201
2020-12-29,6240.736,6280.04,6196.415,6199.852,15447603200,-0.7147110040512605
2020-12-30,6196.451,6289.27,6188.593,6269.248,13804167300,1.1193170417616471
2020-12-31,6282.958,6370.57,6281.014,6367.115,16019408600,1.5610644211235591
2021-01-04,6395.612,6501.589,6359.08,6482.787,18662120900,1.8167097657259212
2021-01-05,6470.25,6539.732,6452.525,6539.732,19672629200,0.8784030695440093
2021-01-06,6549.731,6569.199,6472.745,6528.143,17852108600,-0.17720909664188378
2021-01-07,6523.676,6567.273,6467.437,6538.116,19713564100,0.15276932505920993
2021-01-08,6541.558,6598.381,6484.398,6557.596,18083742900,0.2979451572899583
2021-01-11,6557.453,6572.854,6419.731,6455.399,18325727100,-1.5584522132805811
2021-01-12,6425.815,6543.229,6425.815,6543.229,16231123700,1.3605665583180881
2021-01-13,6550.035,6553.649,6457.881,6496.913,18491342000,-0.7078462331060242
2021-01-14,6471.789,6516.269,6402.6,6439.885,16302381600,-0.8777707197248796
2021-01-15,6427.13,6447.876,6339.428,6417.501,13824319900,-0.34758384660595887
2021-01-18,6414.83,6529.413,6392.065,6514.464,13683280700,1.5109152300872175
2021-01-19,6510.479,6532.647,6456.115,6476.374,14761671600,-0.5846989099947408
2021-01-20,6477.668,6535.475,6449.284,6535.419,12852543200,0.9116984287812935
2021-01-21,6552.035,6649.863,6550.88,6622.496,15680958700,1.332385880691045
2021-01-22,6619.86,6643.665,6573.82,6637.805,15806231000,0.23116661754118972
2021-01-25,6636.22,6711.571,6599.974,6645.314,16562310300,0.1131247453036055
2021-01-26,6621.148,6624.449,6515.258,6532.961,14337131100,-1.6907101756215015
2021-01-27,6527.68,6564.286,6481.157,6557.161,13976004900,0.3704292739540316
2021-01-28,6475.861,6529.842,6405.814,6414.381,14482540600,-2.1774667420854765
2021-01-29,6448.67,6462.374,6255.703,6346.137,14604158100,-1.0639218343905799
2021-02-01,6338.645,6397.014,6328.336,6393.278,13732518300,0.7428298506634956
2021-02-02,6404.853,6459.48,6361.088,6454.785,13239431300,0.9620573358455564
2021-02-03,6459.664,6484.493,6399.332,6399.332,14545715500,-0.8590991024488015
2021-02-04,6375.672,6414.298,6249.531,6328.788,14886133000,-1.1023650593530832
2021-02-05,6343.83,6382.957,6236.267,6239.871,13513287900,-1.4049609498690607
2021-02-08,6247.919,6354.02,6215.728,6323.162,11613400400,1.3348192614879295
2021-02-09,6334.416,6468.428,6330.792,6457.881,11931911000,2.1305637907110375
2021-02-10,6474.75,6542.745,6424.721,6525.166,11904265900,1.0419052317625521
2021-02-18,6657.307,6678.613,6564.306,6614.544,16689239200,1.3697429306779307
2021-02-19,6600.246,6706.39,6542.782,6703.482,17876781700,1.344582483690493
2021-02-22,6731.505,6810.922,6657.056,6657.056,23706558500,-0.6925654458384556
2021-02-23,6613.601,6701.43,6609.078,6631.229,19265686600,-0.3879642893194757
2021-02-24,6633.282,6661.433,6477.751,6536.186,17371883200,-1.4332637283375416
2021-02-25,6600.205,6609.564,6484.555,6499.153,16206818200,-0.5665842434716462
2021-02-26,6365.739,6446.946,6346.133,6364.353,15076020600,-2.0741164271713575
2021-03-01,6407.164,6491.937,6404.889,6488.439,15860843700,1.9497032926991897
2021-03-02,6514.021,6514.021,6386.49,6433.328,16587706900,-0.8493722450037655
2021-03-03,6426.037,6528.222,6420.207,6524.751,17101752400,1.4210840796551993
2021-03-04,6482.787,6485.164,6371.73,6401.992,19433461600,-1.8814357819938232
2021-03-05,6325.752,6442.016,6319.532,6403.496,16650488500,0.023492687900894538
2021-03-08,6453.78,6488.819,6253.697,6256.409,16854633900,-2.296979649866271
2021-03-09,6235.314,6250.935,6033.408,6108.003,19643268600,-2.3720635911111287
2021-03-10,6164.768,6179.854,6053.019,6062.255,14255427900,-0.7489845699158892
2021-03-11,6074.335,6213.934,6045.549,6213.832,16081464300,2.5003402199346603
2021-03-12,6231.485,6232.501,6137.99,6222.38,17574617800,0.13756406674656496
2021-03-15,6192.299,6229.572,6111.358,6173.872,17079969100,-0.7795730893966568
2021-03-16,6176.069,6222.182,6124.777,6195.244,15284599200,0.3461684984722657
2021-03-17,6180.893,6230.559,6124.05,6225.359,13484039600,0.4860986911895848
2021-03-18,6231.193,6300.945,6227.193,6273.856,14072566500,0.7790233462841245
2021-03-19,6195.253,6258.132,6167.507,6206.602,14323827500,-1.0719723245162127
2021-03-22,6208.932,6307.548,6206.081,6305.692,14304144500,1.5965257640170982
2021-03-23,6307.98,6307.98,6181.134,6219.167,15096405200,-1.3721729510416836
2021-03-24,6180.312,6232.131,6131.823,6142.544,14767311100,-1.2320460280291656
2021-03-25,6118.87,6190.938,6108.261,6157.407,12930709300,0.24196814870192096
2021-03-26,6164.824,6264.555,6164.824,6251.794,12888761000,1.532901755560423
2021-03-29,6269.999,6277.765,6215.798,6254.943,13963389400,0.05036954192669807
2021-03-30,6239.47,6287.874,6217.327,6280.359,13440958400,0.4063346380614563
2021-03-31,6277.696,6277.696,6205.939,6254.07,12512849200,-0.4185907206897044
2021-04-01,6259.414,6321.58,6238.307,6311.664,13037481800,0.9209043071152001
2021-04-02,6316.556,6341.655,6291.714,6326.606,12393887100,0.2367363028196623
2021-04-06,6345.891,6367.785,6323.242,6343.096,11148915800,0.260645281213967
2021-04-07,6350.378,6350.378,6289.065,6348.076,15001677500,0.07851055698984144
2021-04-08,6332.926,6385.195,6309.123,6356.753,17374127800,0.13668708440162103
2021-04-09,6345.29,6360.45,6307.656,6335.239,14130690000,-0.3384432272262261
2021-04-12,6325.264,6344.162,6203.569,6226.418,15544143900,-1.717709466051709
2021-04-13,6210.223,6254.897,6193.809,6209.78,13038770900,-0.26721623893545265
2021-04-14,6206.637,6287.838,6206.637,6277.211,11743821700,1.085883879944216
2021-04-15,6263.628,6281.426,6211.66,6276.461,11977617600,-0.011947981356685844
2021-04-16,6283.862,6344.947,6276.432,6339.591,12676465300,1.0058215927733816
2021-04-19,6331.71,6431.777,6315.083,6425.261,14220093000,1.3513490065841793
2021-04-20,6419.731,6467.381,6410.278,6428.541,13467452300,0.05104850993600252
2021-04-21,6396.272,6434.63,6369.77,6420.259,12105173300,-0.1288317209145906
2021-04-22,6444.284,6472.804,6424.754,6445.466,12492387700,0.3926165595500075
2021-04-23,6445.516,6463.975,6412.988,6462.756,12611730600,0.2682505811061553
2021-04-26,6480.3,6546.643,6437.191,6442.645,14496413900,-0.31118303089270327
2021-04-27,6434.613,6466.252,6399.436,6446.282,12589471200,0.056451969649096156
2021-04-28,6433.099,6489.744,6410.317,6489.744,11723494300,0.6742180996735625
2021-04-29,6495.646,6502.425,6453.52,6491.928,12830543900,0.033653099413477605
2021-04-30,6470.353,6503.154,6434.73,6485.708,14425423900,-0.0958112905750097
2021-05-06,6503.601,6548.066,6440.331,6489.349,15414198100,0.05613882092749822
2021-05-07,6505.575,6524.18,6439.895,6444.443,17751874900,-0.6919954528566752
2021-05-10,6461.418,6493.497,6437.107,6475.994,18908013400,0.4895845924930864
2021-05-11,6436.292,6472.869,6349.787,6456.038,18726361100,-0.30815346647943276
2021-05-12,6434.914,6521.488,6419.737,6512.05,15649093000,0.8675909280583705
2021-05-13,6448.96,6496.996,6426.576,6439.027,15965864600,-1.1213519552214724
2021-05-14,6454.679,6525.804,6421.208,6525.804,16624340700,1.3476725598448258
2021-05-17,6521.886,6613.895,6521.886,6578.14,15936375800,0.8019854718284591
2021-05-18,6578.971,6604.685,6558.778,6599.599,13250549100,0.32621683332978435
2021-05-19,6582.104,6590.981,6544.841,6584.387,13518125500,-0.23049885303637607
2021-05-20,6541.093,6580.437,6506.408,6548.711,16232992300,-0.5418272042636563
2021-05-21,6557.488,6570.457,6512.806,6527.864,13435069500,-0.31833745602761754
2021-05-24,6515.833,6564.071,6494.616,6544.122,13722661200,0.2490554337529094
2021-05-25,6549.344,6628.693,6524.303,6619.671,14469203600,1.1544558613057587
2021-05-26,6631.366,6642.38,6612.423,6628.207,15623700300,0.12894900668023457
2021-05-27,6629.237,6685.483,6620.72,6685.405,14516667600,0.862948305627742
